min,max,mean,var,std
1.007476,158.53365,58.693466,1982.9309,44.530113
4.2591214,7181.066,1979.0592,3465575.8,1861.6057
2.0637639,84.74117,38.25021,515.98065,22.715208
0.0,166.39908,58.79694,2384.7527,48.83393
0.0,7644.907,2466.632,6066569.0,2463.0405
0.0,87.43516,40.07387,860.71686,29.337976
1.9968554,171.13487,67.84068,2793.7322,52.855766
2.919073,7227.2095,1882.2546,3748137.5,1936.0107
1.7085296,85.01299,36.4822,551.3038,23.479858
4.4350305,162.46672,43.03411,1934.1282,43.978725
0.6140457,7561.134,2556.4355,6967200.5,2639.5454
0.7836107,86.95478,39.66577,983.06213,31.35382
5.1174793,171.62407,51.225723,2274.5173,47.6919
0.8671289,7791.5967,3098.7302,9504641.0,3082.9597
0.9311976,88.27002,42.579422,1285.723,35.85698
3.03529,175.3819,62.34319,3515.6843,59.293205
0.75389606,7758.7837,2213.6917,7248014.5,2692.2136
0.8682719,88.08396,34.11291,1050.001,32.403717
3.11775,163.68344,34.331047,1003.94366,31.68507
0.6770434,7520.687,2061.0679,5028125.5,2242.3481
0.82282645,86.72189,35.249207,818.56146,28.610514
4.2201257,162.11356,49.47533,1942.1461,44.069786
1.0385891,7744.932,3345.4587,10102079.0,3178.3767
1.0191119,88.005295,45.434628,1281.1532,35.7932
2.504801,174.85254,60.910717,3024.6748,54.997044
0.71323663,7843.4116,2455.505,7694547.0,2773.9048
0.8445334,88.563034,37.257595,1067.3765,32.670727
0.94161624,241.86436,80.076385,1502.3352,38.759968
36.90425,15255.06,1557.5026,3214801.0,1792.9867
6.074887,123.511375,35.786602,276.8216,16.637957
0.2723389,245.76398,101.33833,3205.3396,56.61572
21.0348,15855.551,1519.3567,6795050.0,2606.7317
4.586371,125.91882,32.294476,476.4236,21.82713
3.2389936,242.90356,96.95704,3901.412,62.461285
29.82242,15551.638,2087.5486,7202435.0,2683.7354
5.460991,124.70621,39.31245,542.0799,23.282608
14.920612,242.44678,87.31565,1117.2776,33.4257
41.02807,9058.576,842.4965,699008.7,836.0674
6.405316,95.17655,26.459684,142.38164,11.932378
12.511214,249.7216,113.9105,2219.9653,47.11651
41.285057,9885.948,905.60474,661361.9,813.2416
6.425345,99.42811,27.937279,125.11322,11.185402
7.3057303,250.65234,107.89795,2847.881,53.365543
31.190426,8270.106,1092.8872,1663595.8,1289.8046
5.584839,90.940125,29.190388,240.8084,15.5180025
13.407757,249.03494,88.029495,1810.4723,42.549644
22.62452,11599.766,1316.7203,2067977.2,1438.0463
4.756524,107.70221,31.980911,293.94165,17.144728
15.227464,249.75017,135.0472,2834.3254,53.238384
33.251324,11716.948,886.0776,648531.2,805.31433
5.766396,108.24486,27.68972,119.35701,10.925063
10.790123,251.73799,106.31493,3152.4495,56.14668
23.741405,15875.011,1875.5876,4833406.0,2198.501
4.872515,125.99607,37.228058,489.6593,22.128246
1.2865789,158.14404,57.25387,766.33167,27.682697
0.5810789,4757.887,788.6358,339312.78,582.5056
0.7622853,68.97744,25.938635,115.82303,10.762111
0.0010679957,170.80042,54.73443,500.277,22.366873
0.0010668552,2541.8645,434.3478,114228.836,337.97757
0.03266275,50.416904,19.028332,72.270424,8.501202
0.11250874,207.49039,52.292343,756.5033,27.504604
0.2892286,5440.1665,683.8119,395759.12,629.0939
0.5377998,73.757484,23.26437,142.58098,11.940728
2.0836596,154.67532,88.53449,473.15848,21.752207
11.466002,2105.846,557.48303,94480.24,307.3764
3.3861485,45.889496,22.607622,46.37845,6.8101726
12.546458,187.23674,73.32473,302.12494,17.381742
19.876112,5128.114,532.62286,143000.83,378.1545
4.4582634,71.61085,21.82404,56.334145,7.5056076
11.957722,219.93431,72.839386,836.74225,28.926497
2.917483,2515.669,420.07007,166373.95,407.88962
1.7080641,50.156445,18.072529,93.45374,9.667148
15.012579,145.78825,91.33029,566.777,23.807077
10.856341,3373.4087,556.7653,257347.78,507.29456
3.2948964,58.08105,21.556408,92.08665,9.596179
13.086304,167.66177,59.19311,285.96332,16.91045
12.189621,2048.9382,323.88248,41066.0,202.64748
3.4913638,45.265198,17.171654,29.016804,5.386725
3.6526062,206.89781,71.14603,990.44305,31.471306
3.5971434,3125.5378,620.0908,219765.25,468.79126
1.8966137,55.90651,22.923273,94.614395,9.726994
0.0,0.18032786,0.009424504,0.0003569612,0.018893417
0.0,0.22222222,0.010618278,0.0004060325,0.020150248
0.0,0.23404256,0.012346052,0.0004883043,0.022097608
0.0,0.25,0.015990585,0.0007125585,0.026693791
0.0,0.29850745,0.02597219,0.0018091097,0.04253363
0.0,0.375,0.039220262,0.003085541,0.055547647
0.0,0.46153846,0.04830925,0.0043151304,0.06568965
0.0,0.4090909,0.045594424,0.0042000064,0.06480746
0.0,0.59375,0.038395416,0.004373167,0.06612993
